country,geodata,filtered_country,point
Schweiz/Suisse/Svizzera/Svizra,Schweiz/Suisse/Svizzera/Svizra,Schweiz/Suisse/Svizzera/Svizra,"(46.7985624, 8.2319736, 0.0)"
Seychelles,Sesel,Sesel,"(-4.6574977, 55.4540146, 0.0)"
Shqipëria,Shqipëria,Shqipëria,"(41.000028, 19.9999619, 0.0)"
Sierra Leone,Sierra Leone,Sierra Leone,"(8.6400349, -11.8400269, 0.0)"
Singapore,Singapore,Singapore,"(1.357107, 103.8194992, 0.0)"
Slovenija,Slovenija,Slovenija,"(45.8133113, 14.4808369, 0.0)"
Somalia / الصومال,Soomaaliya الصومال,Soomaaliya الصومال,"(8.3676771, 49.083416, 0.0)"
Soomaaliya الصومال,Soomaaliya الصومال,Soomaaliya الصومال,"(8.3676771, 49.083416, 0.0)"
South Africa,South Africa,South Africa,"(-28.8166236, 24.991639, 0.0)"
South Sudan,South Sudan,South Sudan,"(7.8699431, 29.6667897, 0.0)"
Suomi,Suomi,Suomi,"(63.2467777, 25.9209164, 0.0)"
Sverige,Sverige,Sverige,"(59.6749712, 14.5208584, 0.0)"
Switzerland,Schweiz/Suisse/Svizzera/Svizra,Schweiz/Suisse/Svizzera/Svizra,"(46.7985624, 8.2319736, 0.0)"
Sénégal,Sénégal,Sénégal,"(14.4750607, -14.4529612, 0.0)"
Tanzania,Tanzania,Tanzania,"(-6.5247123, 35.7878438, 0.0)"
Tchad / تشاد,Tchad تشاد,Tchad تشاد,"(15.6134137, 19.0156172, 0.0)"
Togo,Togo,Togo,"(8.7800265, 1.0199765, 0.0)"
Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,"(10.8677845, -60.9821067, 0.0)"
Türkiye,Türkiye,Türkiye,"(38.9597594, 34.9249653, 0.0)"
Türkmenistan,Türkmenistan,Türkmenistan,"(39.3763807, 59.3924609, 0.0)"
Uganda,Uganda,Uganda,"(1.5333554, 32.2166578, 0.0)"
United Arab Emirates,الإمارات العربية المتحدة,الإمارات العربية المتحدة,"(24.0002488, 53.9994829, 0.0)"
United Kingdom,United Kingdom,United Kingdom,"(54.7023545, -3.2765753, 0.0)"
United States,United States,United States,"(39.7837304, -100.4458825, 0.0)"
United States of America,United States,United States,"(39.7837304, -100.4458825, 0.0)"
Venezuela,Venezuela,Venezuela,"(8.0018709, -66.1109318, 0.0)"
Việt Nam,Việt Nam,Việt Nam,"(13.2904027, 108.4265113, 0.0)"
Zimbabwe,Zimbabwe,Zimbabwe,"(-18.4554963, 29.7468414, 0.0)"
Österreich,Österreich,Österreich,"(47.2000338, 13.199959, 0.0)"
Česká republika,Česko,Česko,"(49.8167003, 15.4749544, 0.0)"
Ελλάδα,Ελλάς,Ελλάς,"(38.9953683, 21.9877132, 0.0)"
Κύπρος - Kıbrıs,Κύπρος - Kıbrıs,Κύπρος - Kıbrıs,"(34.9823018, 33.1451285, 0.0)"
Беларусь,Беларусь,Беларусь,"(53.4250605, 27.6971358, 0.0)"
Бългaрия,Бългaрия,Бългaрия,"(42.6073975, 25.4856617, 0.0)"
Монгол улс,Монгол улс,Монгол улс,"(46.8250388, 103.8499736, 0.0)"
Россия,Россия,Россия,"(64.6863136, 97.7453061, 0.0)"
Србија (Serbia),Србија,Србија,"(44.1534121, 20.55144, 0.0)"
Україна,Україна,Україна,"(49.4871968, 31.2718321, 0.0)"
ישראל,ישראל,ישראל,"(31.5313113, 34.8667654, 0.0)"
افغانستان,افغانستان,افغانستان,"(33.7680065, 66.2385139, 0.0)"
السعودية,السعودية,السعودية,"(25.6242618, 42.3528328, 0.0)"
السودان ‎al-Sūdān,السودان,السودان,"(14.5844444, 29.4917691, 0.0)"
العراق,العراق,العراق,"(33.0955793, 44.1749775, 0.0)"
الكويت,الكويت,الكويت,"(29.2733964, 47.4979476, 0.0)"
ایران,ایران,ایران,"(32.6475314, 54.5643516, 0.0)"
تونس,تونس,تونس,"(33.8439408, 9.400138, 0.0)"
سلطنة عُمان Oman,عمان,عمان,"(21.0000287, 57.0036901, 0.0)"
لبنان  Lebanon,لبنان,لبنان,"(33.8750629, 35.843409, 0.0)"
مصر,مصر,مصر,"(26.2540493, 29.2675469, 0.0)"
پاکستان,پاکستان,پاکستان,"(30.3308401, 71.247499, 0.0)"
ދިވެހިރާއްޖެ,ދިވެހިރާއްޖެ,ދިވެހިރާއްޖެ,"(4.7064352, 73.3287853, 0.0)"
भारत - India,भारत - India,भारत - India,"(22.3511148, 78.6677428, 0.0)"
ශ්‍රී ලංකාව இலங்கை,ශ්‍රී ලංකාව இலங்கை,ශ්‍රී ලංකාව இலங்கை,"(7.5554942, 80.7137847, 0.0)"
ประเทศไทย,ประเทศไทย,ประเทศไทย,"(14.8971921, 100.83273, 0.0)"
ປະເທດລາວ,ປະເທດລາວ,ປະເທດລາວ,"(20.0171109, 103.378253, 0.0)"
中国,中国,中国,"(35.000074, 104.999927, 0.0)"
日本,日本,日本,"(36.5748441, 139.2394179, 0.0)"
日本 (Japan),日本,日本,"(36.5748441, 139.2394179, 0.0)"
대한민국,대한민국,대한민국,"(36.638392, 127.6961188, 0.0)"
